codigoPrestador;representanteLegal;email;nomePrestador;razaoSocial;telefone;celular
443;Lucas Ferreira;esocial01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(86) 2448-2831;(51) 98707-8416
446;Vanessa Martins;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Instituto MedCare LTDA;(91) 7174-5709;(99) 99990-6746
448;João Lima;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(87) 9570-7475;(23) 94954-3638
449;João Lima;suporte01@inmestra.com.br;Instituto MedCare;Instituto MedCare LTDA;(17) 5672-7203;(76) 96978-5525
466;Thiago Almeida;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Vida Saudável LTDA;(75) 8938-7729;(70) 97494-5083
467;Vanessa Martins;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(73) 7006-4436;(32) 93361-4600
468;Vanessa Martins;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(96) 9632-8599;(86) 91856-2964
472;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Diagnóstico Avançado S/A;(90) 6180-2692;(37) 91520-8544
475;Juliana Castro;esocial01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(44) 9045-1401;(96) 99004-6123
485;Juliana Castro;suporte01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(90) 4895-2763;(44) 97544-8082
486;João Lima;inovacao01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(23) 5768-9996;(98) 95025-2917
488;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(88) 4984-3165;(96) 99908-8930
490;Patrícia Andrade;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(79) 8278-8146;(31) 93984-4413
492;Gabriela Rocha;suporte01@inmestra.com.br;Instituto MedCare;Nova Esperança Serviços Médicos LTDA;(94) 9672-8468;(73) 96213-2752
494;Juliana Castro;inovacao01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(70) 7911-4597;(39) 98363-4023
501;Carlos Moreira;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Horizonte Clínicas Integradas;(84) 9592-8575;(30) 91193-2346
505;João Lima;esocial01@inmestra.com.br;Clínica Vida Saudável;Saúde e Trabalho LTDA;(82) 5682-2327;(16) 95636-8767
506;Juliana Castro;esocial01@inmestra.com.br;Clínica Nova Esperança;ProVida Serviços Médicos LTDA;(54) 6459-2341;(39) 96096-5035
509;João Lima;inovacao01@inmestra.com.br;Clínica Nova Esperança;Horizonte Clínicas Integradas;(65) 8417-6200;(20) 93443-5417
522;Lucas Ferreira;esocial01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(65) 2228-5570;(50) 97106-6568
523;Fernanda Souza;esocial01@inmestra.com.br;Centro Médico Bem-Estar;ProVida Serviços Médicos LTDA;(62) 4789-4882;(86) 99134-8417
527;João Lima;suporte01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(16) 2126-7885;(76) 93262-1544
531;Vanessa Martins;esocial01@inmestra.com.br;Clínica Vida Saudável;Diagnóstico Avançado S/A;(67) 7117-9766;(35) 93348-8084
533;Thiago Almeida;esocial01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(68) 4137-1343;(60) 95932-5232
534;Carlos Moreira;inovacao01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(88) 7685-1784;(55) 95136-2699
539;Vanessa Martins;esocial01@inmestra.com.br;Clínica Nova Esperança;ProVida Serviços Médicos LTDA;(29) 8115-2274;(84) 92328-6906
550;Vanessa Martins;inovacao01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(60) 4546-4945;(72) 93932-1113
551;Lucas Ferreira;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(97) 7976-9738;(51) 93295-8442
556;Juliana Castro;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Instituto MedCare LTDA;(13) 3722-9771;(88) 91328-8020
560;João Lima;suporte01@inmestra.com.br;Saúde Corporativa Plus;Diagnóstico Avançado S/A;(82) 3868-1214;(16) 91572-7008
574;Gabriela Rocha;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;ProVida Serviços Médicos LTDA;(91) 9033-7644;(49) 94497-9099
575;Gabriela Rocha;esocial01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(47) 8178-4097;(14) 97202-8619
578;Carlos Moreira;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(31) 9762-8404;(29) 99312-1496
581;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;ProVida Serviços Médicos LTDA;(81) 3242-1554;(90) 99313-9848
582;João Lima;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(86) 5405-3020;(91) 95181-6927
583;Patrícia Andrade;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(81) 6545-4847;(62) 92584-8443
589;Gabriela Rocha;suporte01@inmestra.com.br;Saúde Corporativa Plus;Diagnóstico Avançado S/A;(49) 2602-4667;(63) 95366-3693
590;João Lima;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Vida Saudável LTDA;(22) 8195-4758;(23) 95198-4628
591;Rafael Dias;inovacao01@inmestra.com.br;Clínica Nova Esperança;Vida Saudável LTDA;(46) 5822-6108;(40) 93677-8077
592;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Horizonte;Bem-Estar Diagnósticos LTDA;(85) 5102-3777;(30) 92518-2247
594;João Lima;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(37) 6291-6016;(63) 92569-9433
598;Gabriela Rocha;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(32) 8558-5973;(80) 96511-7514
601;Rafael Dias;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Nova Esperança Serviços Médicos LTDA;(50) 3373-6886;(78) 99405-9726
605;Juliana Castro;esocial01@inmestra.com.br;Saúde Corporativa Plus;Vida Saudável LTDA;(23) 2592-4493;(62) 98789-4472
